Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Search Locality
Cafe Monza,"Bhoomi Heights, WING-A, Kharghar Station Rd, विंग F, सेक्टर 8, खारघर, पनवेल, महाराष्ट्र 410210, India",,Kharghar,पनवेल,Maharashtra,410210,+91 90222 24253,4.3,4564,"cafe, coffee_shop, breakfast_restaurant, food_store, store, restaurant, food, point_of_interest, establishment",19.0320564,73.06698709999999,localisy000045,ChIJh0PUST7C5zsRmDhA5i_3Y6E,photos\localisy12666_1.jpg,,,,,Cafes,CBD Belapur
Vintage Coffee Cafe,"Shop No. 2/3, Beverly Park, Plot No.20, near Palm Beach Road, Sector No.6, Nerul, Navi Mumbai, Maharashtra 400706, India",,Nerul,Navi Mumbai,Maharashtra,400706,,4.7,726,"coffee_shop, tea_store, brunch_restaurant, breakfast_restaurant, cafe, food_store, store, restaurant, food, point_of_interest, establishment",19.0438127,73.0089639,localisy000046,ChIJNUNmCwDD5zsRXRYuqJEF0FM,photos\localisy00046_1.jpg,,,,,Cafes,CBD Belapur
"Huyen, South East Asian","Shop no 5, Progressive Sea Lounge chs, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 4455 4355,4.5,233,"restaurant, food, point_of_interest, establishment",19.0066146,73.0326898,localisy000047,ChIJw61Dt3PD5zsReYebUGj-rkE,photos\localisy00047_1.jpg,,,,,Cafes,CBD Belapur
Eat Eat Repeat,"Shop 30, Sun City CHS, Sector 15, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 93221 23351,4.7,84,"cafe, food, point_of_interest, establishment",19.0083228,73.0356137,localisy000048,ChIJR30K0yvt5zsRa3TsdJQYXZ0,photos\localisy00048_1.jpg,,,,,Cafes,CBD Belapur
Nityanand Lunch Home,"Shop Number 7 Plot, 44, Sai Chambers, opp. Idbi Bank, beside HDFC Bank, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 2756 5510,4.1,875,"restaurant, food, point_of_interest, establishment",19.0162282,73.0396976,localisy000049,ChIJT7Pn2qzD5zsR9anCWVh5-9A,photos\localisy00049_1.jpg,,,,,Cafes,CBD Belapur
Center Point/ J9 Lounge,"Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 83569 90636,4.1,325,"north_indian_restaurant, indian_restaurant, restaurant, food, point_of_interest, establishment",19.0183148,73.04377099999999,localisy000050,ChIJw5-kWVLC5zsRF1KjW6hWc00,photos\localisy00050_1.jpg,,,,,Cafes,CBD Belapur
Hangout Fine Dine Bar,"31, & 32, Sector 11, CBD Belapur, Mumbai, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 4005 0090,3.9,157,"fine_dining_restaurant, vegan_restaurant, pizza_restaurant, vegetarian_restaurant, meal_takeaway, family_restaurant, chinese_restaurant, fast_food_restaurant, restaurant, food, point_of_interest, establishment",19.0156699,73.0406892,localisy000051,ChIJkSIWyqzD5zsRe6ALr_MYh64,photos\localisy00051_1.jpg,,,,,Cafes,CBD Belapur
Aqua,"West 1 - The Park, 1, Nirmaladevi Marg, Sector 10, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 22 6758 9000,4.2,205,"bar, lounge_bar, pub, night_club, restaurant, food, point_of_interest, establishment",19.0250831,73.0368854,localisy000052,ChIJlf4PhrPD5zsRZlgRJXRcKsQ,photos\localisy00052_1.jpg,,,,,Cafes,CBD Belapur
SAFFRON -Multi Cuisine Restaurant,"Hotel Krishna Avtar, Palm Beach Rd, Sector 14, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 82868 58746,4.5,269,"family_restaurant, restaurant, food, point_of_interest, establishment",19.0128949,73.038204,localisy000053,ChIJeaBZCYbD5zsRjNG-eYNfTYU,photos\localisy00053_1.jpg,,,,,Cafes,CBD Belapur
Krishna Lunch Home,"Shop No. 9,10,11, Plot No. 58, Sakal Bhavan Rd, near Sakal Bhavan, Belapur East, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",,CBD Belapur,Navi Mumbai,Maharashtra,400614,+91 91370 91831,3.9,977,"seafood_restaurant, breakfast_restaurant, family_restaurant, restaurant, food, point_of_interest, establishment",19.016035499999997,73.03884479999999,localisy000054,ChIJcSvg5KzD5zsRpZDYyvGlfEc,photos\localisy00055_1.jpg,,,,,Cafes,CBD Belapur
