Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category
Sanjeevan Medicals,"1A-24/1, Mata Amritanandamayi Marg, Nerul East, Sector 10, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 10,Nerul,Navi Mumbai,Maharashtra,400706,,4.5,4.0,"store, health, point_of_interest, establishment",19.0378589,73.01750919999999,localisy18180,ChIJuUUNfcLD5zsRNtEFRe7QFUM,photos\localisy20032_1.jpg,,,,,Medical Stores
Nerul Chemist,"22P9+VRF, Nerul East, Sector 11, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 11,Nerul,Navi Mumbai,Maharashtra,400706,,3.5,14.0,"pharmacy, health, store, point_of_interest, establishment",19.0371834,73.01954549999999,localisy18182,ChIJAWdhTMLD5zsRUZvDGqUyk2E,photos\localisy20034_1.jpg,,,,,Medical Stores
DINESH MEDICAL,"Shop No 4, near Near Gymkhana, Nerul East, Sector 28, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 28,Nerul,Navi Mumbai,Maharashtra,400706,+91 88289 84577,5.0,1.0,"pharmacy, health, store, point_of_interest, establishment",19.0275032,73.01614289999999,localisy18183,ChIJ1zaoGBHD5zsR2cis8ADYc7Y,photos\localisy20035_1.jpg,,,,,Medical Stores
Sai Medical & General Stores,"Shop no NL 1 B 35 Unit No 6 Sect 10 Nerul (W), 1B-35/6, Mata Amritanandamayi Marg, NL - 1 Type, Sector 10, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 10,Nerul,Navi Mumbai,Maharashtra,400706,+91 86571 56818,4.0,3.0,"health, store, point_of_interest, establishment",19.0386724,73.0173483,localisy18184,ChIJO4HKhMLD5zsR_cOWjVGTYhg,photos\localisy20036_1.jpg,,,,,Medical Stores
Ayurvedic medicine shop,"17, Nerul East, Sector 25, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 25,Nerul,Navi Mumbai,Maharashtra,400706,,3.3,4.0,"pharmacy, health, store, point_of_interest, establishment",19.0235089,73.0210896,localisy18185,ChIJbUEuMRjD5zsRYjZo7X-p66Y,,,,,,Medical Stores
Soham Medical Stores,"NL-2,Building No.6,Room No.3,-,Opposite. Dr.D.Y.Patil Hospital,, Sector 9, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 9,Nerul,Navi Mumbai,Maharashtra,400706,+91 96531 08427,3.4,10.0,"pharmacy, health, store, point_of_interest, establishment",19.0410449,73.02265849999999,localisy18188,ChIJ4RRqpcTD5zsRBhkeydctAx0,photos\localisy20039_1.jpg,,,,,Medical Stores
MAHARASHTRA MEDICAL,"NERUL(W) SECTOR-10,Near goodwill arcade towards sai baba hotel, Station Road, NL - 4 Type, Sector : 11, Sector 11, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 11,Nerul,Navi Mumbai,Maharashtra,400706,+91 76780 31115,5.0,5.0,"pharmacy, health, store, point_of_interest, establishment",19.0369624,73.0201191,localisy18190,ChIJWWLoRR3D5zsRoC3CX-URxWU,photos\localisy20040_1.jpg,,,,,Medical Stores
Mahalaxmi Medical,"Shop No 16, Sec 2, Dharshana Society, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul West,Nerul,Navi Mumbai,Maharashtra,400706,+91 79776 09776,5.0,4.0,"pharmacy, medical_clinic, health, store, point_of_interest, establishment",19.0367979,73.0135059,localisy18193,ChIJISAT2R3D5zsR-qCCSk0XyPI,,,,,,Medical Stores
Siwan Pharmacy,"Prashant Apartment, Shop no 1 Plot no : B2 Mata Amritanandamayi Marg Nerul West, Station West, Nerul East, Sector 20, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 20,Nerul,Navi Mumbai,Maharashtra,400706,+91 88795 76475,4.5,35.0,"pharmacy, cosmetics_store, drugstore, pet_care, health, store, point_of_interest, establishment",19.0349965,73.0170484,localisy18196,ChIJWz6K_8HD5zsRA1ngDXB3oBw,photos\localisy20044_1.jpg,,,,,Medical Stores
BHIMASHANKAR MEDICAL & GENERAL STORE,"Shop18, Bhimashankar chs, Nerul East, Sector 19A, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 19A,Nerul,Navi Mumbai,Maharashtra,400706,+91 95795 20167,4.8,6.0,"health, store, point_of_interest, establishment",19.0311384,73.0268639,localisy18197,ChIJsbVnvkjD5zsRvoMUOzEWF3U,photos\localisy20045_1.jpg,,,,,Medical Stores
LYFE,"Shop No 05, Tulsi Chhaya CHS, Plot No 273/274, near Darshan Darbar Marg, Sarsole Gaon, Sector 06, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 06,Nerul,Navi Mumbai,Maharashtra,400706,+91 82683 62231,5.0,95.0,"pharmacy, general_store, health, food_store, food, store, point_of_interest, establishment",19.041636,73.0110606,localisy18198,ChIJz579qAzD5zsRw-KtqZPIZG8,photos\localisy20046_1.jpg,,,,,Medical Stores
"Zeno Health Pharmacy - Sector - 15, Nerul East.","Shop No. 1 CHSL, Sector No. 15, Plot No. 11-8, Vighnahar Co-Operative Housing Society, Nerul (E, Nerul, Navi Mumbai, Maharashtra 400706, India",Nerul (E,Nerul,Navi Mumbai,Maharashtra,400706,+91 93217 05160,3.7,23.0,"pharmacy, health, store, point_of_interest, establishment",19.0343127,73.0213548,localisy18199,ChIJnRhZsj7D5zsR8CRqPhvZXF0,photos\localisy20048_1.jpg,,,,,Medical Stores
Krishna Medical & General Stores,"22R5+GWX, Rd Number 9, West, Sarsole Gaon, Sector 6, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 6,Nerul,Navi Mumbai,Maharashtra,400706,+91 22 2772 2447,3.6,17.0,"pharmacy, general_store, health, food_store, food, store, point_of_interest, establishment",19.041356,73.009872,localisy18200,ChIJE-fM6-XD5zsRiWxhNs27lI0,photos\localisy20049_1.jpg,,,,,Medical Stores
Sarvodaya Medical and General Store,"Jai Bhavani Marg, Nerul East, Sector 8, Nerul, Navi Mumbai, Maharashtra 400706, India",Sector 8,Nerul,Navi Mumbai,Maharashtra,400706,+91 90042 75618,4.7,6.0,"health, store, point_of_interest, establishment",19.0406087,73.0155937,localisy18202,ChIJl3OJCujD5zsRtGvB5BoG5xk,photos\localisy20052_1.jpg,,,,,Medical Stores
Manoj Medical,"Shop Number 24 Plot Number 4 Amarante Sector 9E, Roadpali, Kalamboli, Panvel, Maharashtra 410218, India",Roadpali,Roadpali,Navi Mumbai,Maharashtra,410218,+91 88989 16896,4.8,22.0,"pharmacy, store, health, point_of_interest, establishment",19.0374842,73.10259789999999,localisy19403,ChIJva2B1unp5zsRRPlCfm5gBfo,photos\localisy23524_1.jpg,,,,,Medical Stores
Family Medical & General Store Kalamboli,"Shop No 04, Vandan CHS, Plot No 17, Node, opp. Cidco Garden, Sai Nagar, Sector 4, Kalamboli, Panvel, Maharashtra 410218, India",Sector 4,Kalamboli,Navi Mumbai,Maharashtra,410218,+91 97687 19197,5.0,4.0,"store, health, point_of_interest, establishment",19.0298688,73.0977267,localisy19404,ChIJrRY5p1rp5zsREHQz2uLxkdQ,photos\localisy23525_1.jpg,,,,,Medical Stores
Khushi Medical And General Stores,"Shop No.5, Bhupati Building, Plot No.19, Kalamboli Link Rd, Roadpali, Kalamboli, Panvel, Maharashtra 410218, India",Roadpali,Roadpali,Navi Mumbai,Maharashtra,410218,+91 98198 97731,5.0,4.0,"pharmacy, store, health, point_of_interest, establishment",19.0387766,73.0982666,localisy19405,ChIJyUgswefp5zsRrXGw25xfqng,photos\localisy23526_1.jpg,,,,,Medical Stores
